Part #,Description,Product Group,Net Weight
SWSCA-44,SCULPTURE TECHNIQUES: HOW TO SCULPT DYNAMIC CHARACTERS - S. LEE,MISCELLANEOUS ACCESSORIES RAM,0.175
SWSCA-74,SCULPTURE TECHNIQUES: MINIATURE HEAD SCULPTING - J. SCHELL,MISCELLANEOUS ACCESSORIES RAM,0.175
SWSCA-46,SCULPTURE TECHNIQUES: TEXTURES & FORMS - D. LANNING,MISCELLANEOUS ACCESSORIES RAM,0.175
102335,SEAL CUTTING TOOL - HOW TO USE GUIDE *PI,MISCELLANEOUS,0.01
102104,SEAL PROFILE (SOLD BY THE YARD),MISCELLANEOUS,0
102133,SEAL PROFILE - 1 ROLL (25 YARDS) (4# 1.81KGS),MISCELLANEOUS,4
102331,SEALER 777 5-GAL (40# 18.14KGS),MISCELLANEOUS,40
AR-SEAL-PRLB,SEALUBE - PER LB,AR-PRODUCTS PARTS,1
AR-SEAL-5GL,SEALUBE 5-GALLON,AR-PRODUCTS PARTS,40
AR-SEAL-GL,SEALUBE GALLON,AR-PRODUCTS PARTS,8
AR-SEAL-QT,SEALUBE QUART,AR-PRODUCTS PARTS,2
101479,SEMI-RIGID URETHANE FLYER *PI,SALES AND MARKETING MATERIAL,0.01
101471,SEMI-RIGIDS NEW 2016 FLYER *PI,SALES AND MARKETING MATERIAL,0.01
101505,SEMINAR BROCHURE (CONCRETE) *PBV,SALES AND MARKETING MATERIAL,0.02
101249,SEMINAR BROCHURES  (7116) *PBV,SALES AND MARKETING MATERIAL,0
SEP LF SEM,SEPTEMBER LIFECASTING SEMINAR,MISCELLANEOUS ACCESSORIES RAM,0
SEP MOLD SEM,SEPTEMBER MOLDMAKING SEMINAR,MISCELLANEOUS ACCESSORIES RAM,0
109578,SESAME NATURAL OXIDE 1 LB (SESAME-1),BUDDY RHODES PRODUCTS,1
115392,SESAME NATURAL OXIDE 20 LB (SESAME-20),BUDDY RHODES PRODUCTS,20
115368,SESAME NATURAL OXIDE 5 LB (SESAME-5),BUDDY RHODES PRODUCTS,5
115416,SESAME NATURAL OXIDE 80 LB (SESAME-80),BUDDY RHODES PRODUCTS,80
115500X,"SFX MEDIUM GRAY GREEN (2#, 0.9KG)",CHAVANT,2
115500,"SFX MEDIUM GRAY GREEN (2#, 0.9KG)",CHAVANT,2
115501,SFX MEDIUM GRAY GREEN CS:20 BILLETS (40# 18.00KGS),CHAVANT,40
SFX PTK-313,SFX PRO PLAY KIT PTK-313 YALLAH RAY,MISCELLANEOUS ACCESSORIES RAM,1
BALL1550,SH 01 (01-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1551,SH 02 (02-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1552,SH 03 (03-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1553,SH 04 (04-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1554,SH 05 (05-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1555,SH 06 (06-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1556,SH 07 (07-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1557,SH 08 (08-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1558,SH 09 (09-MINARETTE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1559,"SH 10B (10B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1560,"SH 11A (11A BOXWOOD TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1561,"SH 11B (11B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1562,"SH 12A (12A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1563,"SH 13A (13A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1564,"SH 13B (13B BOXWOOD MODELING TOOL 8""",FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1565,"SH 14A (14A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1566,SH 153 (153 WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1567,SH 154 (154 - WAX MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1568,SH 155 (155 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1569,SH 156 (156 - WAX MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.1
BALL1570,SH 158 (158 - WAX MODELING TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1571,SH 159 (159 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1572,"SH 15A (15A BOXWOOD MODELING TOOL 6"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1573,"SH 15B (15B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1574,SH 160 (160 - WAX MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1575,SH 161 (161 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1576,SH 162 (162 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1577,SH 163 (163 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.14
BALL1578,SH 164 (164 - WAX MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1579,SH 165 (165 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1580,SH 166 (166 - WAX MODELING TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1581,"SH 16B (16B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1582,SH 170 (170 - PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1583,SH 179 (179 - STEEL PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1584,SH 184 (184 - STEEL PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.2
BALL1585,SH 186 (186 - STEEL PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.11
BALL1586,SH 18A (18A BOXWOOD MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1587,"SH 19A (19A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1588,"SH 19B (19B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1589,"SH 1A (1A BOXWOOD TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1590,"SH 1B (1B BOXWOOD MODELING TOOLS 8""",FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1591,SH 204 (204 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1592,SH 206 (206 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1593,SH 207 (207 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1594,SH 209 (209 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.08
BALL1595,"SH 20A (20A BOXWOOD MODELING TOOL 6"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1596,"SH 20B (20B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1597,SH 210 (210 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.08
BALL1598,SH 211 (211 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.08
BALL1599,SH 212 (212 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1600,SH 213 (213 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1601,SH 214 (214 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1602,SH 215 (215 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1603,SH 217 (217 - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1604,"SH 21B (21B BOXWOOD MODELING TOOL 8"""" -",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1605,SH 221 (221 - WIRE END MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1606,SH 222 (222 - WIRE END MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1607,"SH 22A (22A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1608,SH 231 (231 - LARGE SINGLE END WIRE TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.23
BALL1609,SH 238 (238 - HARDWOOD TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1610,SH 245A (245A - CLEAN UP TOOL),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1611,SH 245B (245B - CLEAN UP TOOL),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1612,SH 245C (245C - CLEAN UP TOOL),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1613,SH 259 (259 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1614,"SH 260 (260 - HARDWOOD MODELING TOOL 6.5"")",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1615,"SH 262 (262 - HARDWOOD MODELING TOOL 6.5"")",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1616,"SH 263 (263 - HARDWOOD MODELING TOOL 6.5"")",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1617,"SH 264 (264 - HARDWOOD MODELING TOOL 6.5"")",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1618,SH 266 (266 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1619,SH 267 (267 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1620,SH 283 (283 - WIRE GROUND END LOOP TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1621,SH 284 (284 - HARDWOOD MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1622,SH 285 (285 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1623,SH 286 (286 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1624,SH 287 (287 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1625,"SH 28A (28A BOXWOOD MODELING TOOL 6""""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1626,SH 290 (290 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1627,SH 291 (291 - HARDWOOD TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1628,SH 292 (292 - HARDWOOD TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1629,SH 295 (295 - MODELING TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1630,SH 296 (296 - MODELING TOOLS D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1631,SH 297 (297 - SHARP LOOP TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1632,"SH 29A (29A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1633,SH 32 (32 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1634,"SH 32A (32A BOXWOOD MODELING TOOL 6""""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1635,"SH 32B (32B BOXWOOD MODELING TOOL 8""""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1636,SH 33 (33 - PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1637,SH 34A (34A BOXWOOD MODELING TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1638,"SH 34B (34B BOXWOOD MODELING TOOL 8""""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1639,"SH 35A (35A BOXWOOD TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1640,SH 36 (36 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1641,"SH 36A (36A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1642,"SH 36B (36B BOXWOOD MODELING TOOL 8""",FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1643,SH 37 (37- PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1644,"SH 37A (37A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1645,"SH 38A (38A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1646,"SH 38B (38B BOXWOOD MODELING TOOL 8""",FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1647,"SH 3A (3A BOXWOOD MODELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1648,"SH 3B (3B BOXWOOD MODELING TOOL 8""",FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1649,SH 40 (40 - STEEL PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1650,SH 401A (401A - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.1
BALL1651,SH 402A (402A - WIRE END TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.08
BALL1652,SH 403A (403A - WIRE END MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1653,SH 404A (404A - WIRE END MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1654,SH 405A (405A - WIRE END MODELING TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1655,SH 42 (42 - PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1656,SH 43 (43 - STEEL PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1657,SH 44 (44 - STEEL PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1658,"SH 4A (4A-BOXWOOD TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1659,"SH 4B (4B-BOXWOOD MODELING TOOL 8""",FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1660,SH 56 (56 - STEEL PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1661,SH 577 (577 - TOGGLE CUTTING WIRE),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1662,"SH 5A (5A BOXWOOD MOLELING TOOL 6""",FORTON CONCRETE AND GYPSUM LATEX,0.02
BALL1663,SH 60 (60 - STEEL PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1664,SH 608 (608 - THIN LINE SERIES),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1665,SH 609 (609 - THIN LINE SERIES),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1666,SH 610 (610- THIN LINE SERIES),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1667,SH 611 (611- THIN LINE SERIES),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1668,SH 612 (612-THIN LINE SERIES),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1669,SH 62 (62 - PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1670,SH 63 (63 - PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.09
BALL1671,SH 64 (64 - PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.1
BALL1672,SH 65 (65 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1673,SH 68 (68 - STEEL PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1674,SH 69 (69 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1675,SH 70 (70 - PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1676,SH 71 (71 - PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.1
BALL1677,SH 73 (73 - PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.06
BALL1678,SH 74 (74 - STEEL PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1679,SH 75 (75 - PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0.14
BALL1680,SH 758 (758-BUCK TOOL),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1681,SH 77 (77 - PLASTER TOOL),FORTON CONCRETE AND GYPSUM LATEX,0.26
BALL1682,SH 81 (81 - STEEL PLASTER TOOL SS),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1683,SH 85 (85 - STEEL TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1684,SH 86 (86 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1685,SH 87 (87 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1686,SH 89 (89 - PLASTER TOOL D),FORTON CONCRETE AND GYPSUM LATEX,0.04
BALL1687,"SH 907A (907A - ALMALOY WIRE 1/16""",FORTON CONCRETE AND GYPSUM LATEX,0.14
BALL1688,"SH 907B (907B - ALMALOY WIRE 1/8""",FORTON CONCRETE AND GYPSUM LATEX,0.32
BALL1689,"SH 907C (907C - ALMALOY WIRE 3/16""",FORTON CONCRETE AND GYPSUM LATEX,0.41
BALL1690,"SH 907D (907D - ALMALOY WIRE 1/4""",FORTON CONCRETE AND GYPSUM LATEX,0.53
BALL1691,"SH 907E (907E - ALMALOY WIRE 3/8""",FORTON CONCRETE AND GYPSUM LATEX,1.3
BALL1692,SH 90A (90A - LARGE PLASTER SCRAPER),FORTON CONCRETE AND GYPSUM LATEX,0.2
BALL1693,SH 90B (90B - PLASTER SCRAPER),FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1694,"SH 91 (91 - PLASTER RASP 6-1/2""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1695,"SH 92 (92 - PLASTER RASP 7-1/2""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1696,"SH 93 (93 - PLASTER RASP  9""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1697,SH 94 (94 - PLASTER CHISEL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1698,SH 97 (97 - PLASTER CHISEL D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1699,"SH AA10 (AA10 - ANIMAL ARMATURE 10""",FORTON CONCRETE AND GYPSUM LATEX,5.05
BALL1700,"SH AA8 (AA8 - ANIMAL ARMATURES 8""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1701,SH BK CARVING (BS810-CARVING WOOD/STONE),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1702,SH BK CONTEMP (BS701-CONTEMPORY STONE),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1703,SH BK MOLD MAKING (BMC888-MOLD MAKING/CASTING),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1704,SH BK PRINCIPLES (BS174-SCULPT-PRINC-PRACTICES),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1705,"SH C12 (C12 - CALIPERS 12""",FORTON CONCRETE AND GYPSUM LATEX,0.15
BALL1706,"SH C6 (C6 - CALIPERS 6""",FORTON CONCRETE AND GYPSUM LATEX,0.07
BALL1707,"SH C8 (C8 - CALIPERS 8""",FORTON CONCRETE AND GYPSUM LATEX,0.11
BALL1708,"SH FA2 (FA2 - FIGURE ARMATURE 8""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1709,"SH FA3 (FA3 - FIGURE ARMATURE 12""",FORTON CONCRETE AND GYPSUM LATEX,2
BALL1710,"SH FA36 (FA36 - 36"""" FIGURE ARMATUR",FORTON CONCRETE AND GYPSUM LATEX,16
BALL1711,"SH FA4 (FA4-FIGURE ARMATURE 15""",FORTON CONCRETE AND GYPSUM LATEX,2.5
BALL1712,"SH FA5 (FA5-FIGURE ARMATURE 18""",FORTON CONCRETE AND GYPSUM LATEX,6
BALL1713,"SH FA6 (FA6-FIGURE ARMATURE 24""",FORTON CONCRETE AND GYPSUM LATEX,14.2
BALL1714,"SH HA2 (HA2 - HEAD ARMATURE 13""",FORTON CONCRETE AND GYPSUM LATEX,2
BALL1715,"SH HA3 (HA3-HEAD ARMATURE 15""",FORTON CONCRETE AND GYPSUM LATEX,2.25
BALL1716,SH HA4 (HA4-HEAD ARMATURE LIFE SIZE),FORTON CONCRETE AND GYPSUM LATEX,4.5
BALL2043,SH HA4 CHILD (HA4-HEAD ARMATURE CHILD SIZE),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1717,"SH HA5 (HA5-HEAD BUST ARMATURE 24""",FORTON CONCRETE AND GYPSUM LATEX,14.2
BALL1718,SH P4 (P4 - STEEL PALETTE D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1719,SH P4AZ (P4AZ - SET STEEL PALETTES (5 PCS) D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1720,SH P5 (P5 - STEEL PALETTE),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1721,SH P5A (P5A - STEEL PALETTE TOOTHED),FORTON CONCRETE AND GYPSUM LATEX,0.03
BALL1722,"SH P6 (STEEL PALETTE 2""""X4""""OVA",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1723,"SH P7 (2"""" X 4"""" RETANGULAR PALETT",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1724,SH P8 (P8 - RUBBER PALETTE/SM),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1725,SH P8A (P8A - RUBBER PALETTE/LG.),FORTON CONCRETE AND GYPSUM LATEX,0.05
BALL1726,SH P8AZ (RUBBER PALETTE SET OF 2),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1727,SH PC1 (PC1 - PEAR CORER),FORTON CONCRETE AND GYPSUM LATEX,0.1
BALL1728,"SH PLASTER FIGURE (1003-ANATOMY.SHEVOLA 30""""-",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1729,SH R21 (R21 - ITALIAN RASP D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1730,"SH R27 (R27 - ITALIAN RASP 7-1/2""""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1731,"SH R29 (R29 - ITALIAN RASP 7 1/2""",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1732,SH R31 (R31 - RIFFLER RASP D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1733,SH R35 (R35 - RIFFLER 35 D),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1734,SH RK10A (RK10A - 9 POCKET CANVAS ROLL),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1735,"SH SP35 (SP35 - 7"""" CHROME SPATULA",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1736,"SH SP36 (SP36 - 7"""" SERRATED CHROME",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1737,"SH SP37 (SP37 - 9"""" SERRATED CHROME CUTTER",FORTON CONCRETE AND GYPSUM LATEX,0
BALL1738,SH SP4 (SP4 - SMALL SPONGE),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1739,SH STAND COLLEGE (COLLEGE STAND 102C),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1740,SH STAND NORSKA (NORSKA STAND 105A),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1741,"SH WK45 (WK45 - 7"""" LARGE WAX KNIF",FORTON CONCRETE AND GYPSUM LATEX,0.06
16356,SHARPSHOOTER HOPPER GUN,POLYESTER RESIN,0
80052A,SHELF TALKER: OOMOO 30,MISCELLANEOUS,0.5
80053A,SHELF TALKER: SMOOTH-CAST 300,MISCELLANEOUS,0.5
41770A,SHELL SHOCK 1-GAL PART-A (10# 4.54KGS),CASTING RESINS,10
101159,SHELL SHOCK CURED DISK (0.02KGS),SALES AND MARKETING MATERIAL,0.04
41760B,SHELL SHOCK FAST 1-GAL PART-B (10# 4.54KGS),CASTING RESINS,10
41761,SHELL SHOCK FAST 1-GAL UNIT (12# 5.45KGS),CASTING RESINS,12
41770B,SHELL SHOCK FAST 5-GAL PART-B (50# 22.68KGS),CASTING RESINS,50
41771,SHELL SHOCK FAST 5-GAL UNIT (60# 27.22KGS),CASTING RESINS,60
41744,SHELL SHOCK FAST CS:4 TRIAL SIZE (14.40# 6.52KGS),CASTING RESINS,14.4
41740B,SHELL SHOCK FAST QUART PART-B (3# 1.36KGS),CASTING RESINS,3
41741,SHELL SHOCK FAST TRIAL SIZE (3.60# 1.63KGS),CASTING RESINS,3.6
41740A,SHELL SHOCK PINT PART-A (0.60# 0.27KGS),CASTING RESINS,0.6
41760A,SHELL SHOCK QUART PART-A (2# 0.91KGS),CASTING RESINS,2
41960B,SHELL SHOCK SLOW 1-GAL PART-B(10# 4.54KGS),CASTING RESINS,10
41961,SHELL SHOCK SLOW 1-GAL UNIT (12# 5.45KGS),CASTING RESINS,12
41970B,SHELL SHOCK SLOW 5-GAL PART-B (50# 22.68KGS),CASTING RESINS,50
41971,SHELL SHOCK SLOW 5-GAL UNIT (60# 27.22KGS),CASTING RESINS,60
41944,SHELL SHOCK SLOW CS:4 TRIAL SIZE (14.40# 6.52KGS),CASTING RESINS,14.4
41940B,SHELL SHOCK SLOW QUART PART-B (3# 1.36KGS),CASTING RESINS,3
41941,SHELL SHOCK SLOW TRIAL SIZE (3.60# 1.63KGS),CASTING RESINS,3.6
AI 610,SHOE COVERS TYVEK ELASTIC TOP PAIR,AIM SUPPLY,0
112660A,SI-TAC SILICONE TEXTILE ADHESIVE 1-GAL PART-A (8# 3.63KGS),SILICONES-PLATINUM,8
112660B,SI-TAC SILICONE TEXTILE ADHESIVE 1-GAL PART-B (8# 3.63KGS),SILICONES-PLATINUM,8
112661,SI-TAC SILICONE TEXTILE ADHESIVE 1-GAL UNIT (16# 7.26KGS),SILICONES-PLATINUM,16
112670A,SI-TAC SILICONE TEXTILE ADHESIVE 5-GAL PART-A (40# 18.14KGS),SILICONES-PLATINUM,40
112670B,SI-TAC SILICONE TEXTILE ADHESIVE 5-GAL PART-B (40# 18.14KGS),SILICONES-PLATINUM,40
112671,SI-TAC SILICONE TEXTILE ADHESIVE 5-GAL UNIT (80# 36.28KGS),SILICONES-PLATINUM,80
112681,SI-TAC SILICONE TEXTILE ADHESIVE DRUM UNIT (880# 399.16KGS),SILICONES-PLATINUM,880
112640A,SI-TAC SILICONE TEXTILE ADHESIVE PINT PART-A (1# 0.45KGS),SILICONES-PLATINUM,1
112640B,SI-TAC SILICONE TEXTILE ADHESIVE PINT PART-B (1# 0.45KGS),SILICONES-PLATINUM,1
112641,SI-TAC SILICONE TEXTILE ADHESIVE TRIAL UNIT (2# 0.90KGS),SILICONES-PLATINUM,2
112644,SI-TAC SILICONE TEXTILE ADHESIVE TRIAL UNIT CS:4 (8# 3.60KGS),SILICONES-PLATINUM,8
AR-SSAD-JR,SIL - SPEED SET ADDITIVE - 4 OZ JAR,AR-PRODUCTS PARTS,0.25
AR-SILTHK-JR,SIL - THIK ADDITIVE - 4 OZ JAR,AR-PRODUCTS PARTS,0.25
